# Matt T1
Please have a seat Meg.	Others
Thank you for coming in today.	Others
Your nutritionist referred you.	Client Details
It seems that she and your mom have some concerns.	Client Details
Can you sit down and we will take your blood pressure and do some vitals? I guess.	Others
I do need to get back to my dorm to study.	Chief Complaint
I have a track meet coming up also that I am training for.	Client Details
I am runner.	Client Details
How many credits are you taking? 21 credits.	Client Details
how are classes going? I am at the top of my class.	Client Details
Could we get this done? I need to get back.	Chief Complaint
How often and far do you run for training now? I run nine miles every day.	Client Details
You are 20, correct? Yes.	Client Details
Your BP is 100/50.	Client Details
Your pulse is 52.	Client Details
Meg how much have you been eating? I have been eating fine.	Client Details
I talked to the nutritionist about this earlier.	Chief Complaint
Let's have you stand up and face me and I will back you onto the scale.	Others
Eyes on me please.	Others
Thank you, and now for a height.	Others
Your height is 5'5".	Client Details
Go ahead and have a seat.	Client Details
How much? Can I please see what the scale says? I'm fat.	Chief Complaint
Please sit up and I will listen to your heart and lungs.	Others
You are here today because your nutritionist and your mom are both very concerned about you.	Chief Complaint
You are very ill, Meg.	Chief Complaint
I am fine.	Chief Complaint
I am eating.	Chief Complaint
I tell my mom what I eat.	Chief Complaint
Just because I am not fat like she is.	Chief Complaint
How have you felt? Are you feeling sad or depressed? Last time we talked, you were quite unhappy.	Chief Complaint
Are you feeling suicidal? I am busy and not concerned about happiness.	Chief Complaint
I need to train and I am tired of everyone nagging me about what I eat and how much I exercise.	Chief Complaint
I am the smartest in my class and one of the best runners on the team.	Chief Complaint
I don't have time for all of this.	Chief Complaint
I am only here to keep my mom off my back.	Chief Complaint
When you were here last, you agreed to keep working with your nutritionist and being open with your mom and me.	Medical History
We need to work together to help you get well.	Chief Complaint
There are irregular rhythms in your heart.	Chief Complaint
And I noticed the downy hair on your back and arms.	Chief Complaint
I will work with all of you.	Chief Complaint
I know.	Others
I don't want to be like this.	Chief Complaint
I need to run though.	Chief Complaint
It helps me.	Chief Complaint
When you were in treatment, we were working toward some goals with your cognitive behavioral therapy. We need to revisit these goals.	Chief Complaint
First thought, we need to bring your mom in and have a discussion about the next step to help you get well.	Chief Complaint
I would like to do more tests to check your electrolytes and your blood count.	Chief Complaint
I do want to be better.	Chief Complaint
